timestamp,cash,position_value,total_value,realized_pnl,unrealized_pnl,total_pnl,total_return,num_positions,commissions
2025-11-25 00:39:49.023379,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,0.0
2025-11-25 00:39:50.024692,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,0.0
2025-11-25 00:39:51.026127,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,0.0
2025-11-25 00:39:52.027364,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,0.0
2025-11-25 00:39:53.028128,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,0.0
2025-11-25 00:39:54.029321,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,0.0
2025-11-25 00:39:55.030404,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,0.0
2025-11-25 00:39:56.031658,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,0.0
2025-11-25 00:39:57.032920,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,0.0
2025-11-25 00:39:58.034244,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,0.0
2025-11-25 00:39:59.035470,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,0.0
2025-11-25 00:40:00.036747,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,0.0
2025-11-25 00:40:01.037950,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,0.0
2025-11-25 00:40:02.039372,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,0.0
2025-11-25 00:40:03.040548,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,0.0
2025-11-25 00:40:04.041557,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,0.0
2025-11-25 00:40:05.042638,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,0.0
2025-11-25 00:40:06.043799,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,0.0
2025-11-25 00:40:07.045182,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,0.0
2025-11-25 00:40:08.046447,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,0.0
2025-11-25 00:40:09.047714,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,0.0
2025-11-25 00:40:10.048574,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,0.0
2025-11-25 00:40:11.050068,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,0.0
2025-11-25 00:40:12.051259,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,0.0
2025-11-25 00:40:13.052573,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,0.0
2025-11-25 00:40:14.053661,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,0.0
2025-11-25 00:40:15.055039,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,0.0
